Índice de Precios de Consumo (IPC)
Indice de Precios de Consumo. Ponderaciones
Comunidades Autónomas por grupos especiales
Unidades: ?

,2006,2005,2004,2003,2002,
    General sin servicios (incluye alquiler de vivienda),650,521,658,411,658,411,.,.,
    General sin servicios ni alquiler de vivienda,623,263,631,432,631,432,.,.,
    General sin alimentos,bebidas,tabaco ni alquiler de vivienda,739,258,734,908,734,908,.,.,
    General sin alimentos,bebidas,tabaco,carburante ni combustible,693,904,692,143,692,143,.,.,
    General sin alimentos,bebidas,tabaco ni productos energéticos,669,165,666,798,666,798,.,.,
    General sin alimentos,bebidas,tabaco ni servicios (Inc.alquier de viv.),417,038,420,298,420,298,.,.,
    General sin alimentos,bebidas,tabaco,servicios ni alquiler de vivienda,389,779,393,319,393,319,.,.,
    Bienes industriales no duraderos,268,279,273,066,273,066,.,.,
    General sin tabaco,978,462,977,677,977,677,.,.,
    Alimentos y bebidas,211,945,215,790,215,790,.,.,
    Alimentos elaborados,117,570,118,337,118,337,.,.,
    Bienes industriales sin energia,365,041,367,975,367,975,.,.,
    Servicios (con alquiler de vivienda),376,737,368,568,368,568,.,.,
    Alimentos, bebida y tabaco,233,483,238,113,238,113,.,.,
    Alimentos sin elaboración y productos energéticos,168,333,168,381,168,381,.,.,
    Bienes industriales sin productos energéticos,292,428,298,230,298,230,.,.,
Canarias,
    Alimentos con elaboración, bebidas y tabaco,194,140,194,325,194,325,.,.,
    Alimentos sin elaboración,62,606,66,590,66,590,.,.,
    Bienes industriales,393,866,397,401,397,401,.,.,
    Servicios sin alquiler de  vivienda,320,161,312,810,312,810,.,.,
    Carburantes y combustibles,56,278,53,842,53,842,.,.,
    Bienes industriales duraderos,116,289,114,747,114,747,.,.,
    Productos energeticos,76,945,74,975,74,975,.,.,
    General sin alimentos, bebidas y tabaco,743,254,739,085,739,085,.,.,
    General sin alquiler de vivienda,970,773,971,127,971,127,.,.,
    General sin carburantes ni combustibles,943,722,946,158,946,158,.,.,
    General sin productos energeticos,923,055,925,025,925,025,.,.,
    General sin alimentos no elaborados ni productos energeticos,860,449,858,434,858,434,.,.,
    General sin servicios (incluye alquiler de vivienda),679,839,687,190,687,190,.,.,
    General sin servicios ni alquiler de vivienda,650,612,658,316,658,316,.,.,
    General sin alimentos,bebidas,tabaco ni alquiler de vivienda,714,027,710,212,710,212,.,.,
    General sin alimentos,bebidas,tabaco,carburante ni combustible,686,976,685,243,685,243,.,.,
    General sin alimentos,bebidas,tabaco ni productos energéticos,666,309,664,109,664,109,.,.,
    General sin alimentos,bebidas,tabaco ni servicios (Inc.alquier de viv.),423,093,426,274,426,274,.,.,
    General sin alimentos,bebidas,tabaco,servicios ni alquiler de vivienda,393,866,397,401,397,401,.,.,
    Bienes industriales no duraderos,277,577,282,654,282,654,.,.,
    General sin tabaco,979,805,979,108,979,108,.,.,
    Alimentos y bebidas,236,551,240,023,240,023,.,.,
    Alimentos elaborados,146,434,145,227,145,227,.,.,
    Bienes industriales sin energia,373,200,376,268,376,268,.,.,
    Servicios (con alquiler de vivienda),349,388,341,684,341,684,.,.,
    Alimentos, bebida y tabaco,256,746,260,915,260,915,.,.,
    Alimentos sin elaboración y productos energéticos,139,551,141,566,141,566,.,.,
    Bienes industriales sin productos energéticos,316,921,322,426,322,426,.,.,
Cantabria,
    Alimentos con elaboración, bebidas y tabaco,168,214,169,668,169,668,.,.,
    Alimentos sin elaboración,83,310,85,447,85,447,.,.,
    Bienes industriales,417,773,421,816,421,816,.,.,
    Servicios sin alquiler de  vivienda,308,560,301,256,301,256,.,.,
    Carburantes y combustibles,71,487,68,492,68,492,.,.,
    Bienes industriales duraderos,107,505,106,234,106,234,.,.,
    Productos energeticos,95,847,93,331,93,331,.,.,
    General sin alimentos, bebidas y tabaco,748,476,744,885,744,885,.,.,
    General sin alquiler de vivienda,977,856,978,187,978,187,.,.,
    General sin carburantes ni combustibles,928,513,931,508,931,508,.,.,
    General sin productos energeticos,904,153,906,669,906,669,.,.,
    General sin alimentos no elaborados ni productos energeticos,820,842,821,222,821,222,.,.,
    General sin servicios (incluye alquiler de vivienda),691,440,698,744,698,744,.,.,
    General sin servicios ni alquiler de vivienda,669,297,676,931,676,931,.,.,
    General sin alimentos,bebidas,tabaco ni alquiler de vivienda,726,332,723,072,723,072,.,.,
    General sin alimentos,bebidas,tabaco,carburante ni combustible,676,989,676,393,676,393,.,.,
    General sin alimentos,bebidas,tabaco ni productos energéticos,652,629,651,554,651,554,.,.,
    General sin alimentos,bebidas,tabaco ni servicios (Inc.alquier de viv.),439,916,443,629,443,629,.,.,
    General sin alimentos,bebidas,tabaco,servicios ni alquiler de vivienda,417,773,421,816,421,816,.,.,
    Bienes industriales no duraderos,310,268,315,582,315,582,.,.,
    General sin tabaco,979,767,979,128,979,128,.,.,
    Alimentos y bebidas,231,290,234,243,234,243,.,.,
    Alimentos elaborados,130,351,130,452,130,452,.,.,
    Bienes industriales sin energia,393,412,396,977,396,977,.,.,
    Servicios (con alquiler de vivienda),330,703,323,069,323,069,.,.,
    Alimentos, bebida y tabaco,251,524,255,115,255,115,.,.,
    Alimentos sin elaboración y productos energéticos,179,158,178,778,178,778,.,.,
    Bienes industriales sin productos energéticos,321,925,328,485,328,485,.,.,
Castilla y León,
    Alimentos con elaboración, bebidas y tabaco,170,155,171,676,171,676,.,.,
    Alimentos sin elaboración,100,209,102,824,102,824,.,.,
    Bienes industriales,396,092,399,349,399,349,.,.,
    Servicios sin alquiler de  vivienda,314,144,307,036,307,036,.,.,
    Carburantes y combustibles,71,819,68,862,68,862,.,.,
    Bienes industriales duraderos,115,707,114,147,114,147,.,.,
    Productos energeticos,99,115,96,702,96,702,.,.,
    General sin alimentos, bebidas y tabaco,729,636,725,500,725,500,.,.,
    General sin alquiler de vivienda,980,601,980,885,980,885,.,.,
    General sin carburantes ni combustibles,928,181,931,138,931,138,.,.,
    General sin productos energeticos,900,885,903,298,903,298,.,.,
    General sin alimentos no elaborados ni productos energeticos,800,676,800,474,800,474,.,.,
    General sin servicios (incluye alquiler de vivienda),685,856,692,964,692,964,.,.,
    General sin servicios ni alquiler de vivienda,666,457,673,849,673,849,.,.,
    General sin alimentos,bebidas,tabaco ni alquiler de vivienda,710,236,706,385,706,385,.,.,
    General sin alimentos,bebidas,tabaco,carburante ni combustible,657,817,656,639,656,639,.,.,
    General sin alimentos,bebidas,tabaco ni productos energéticos,630,521,628,798,628,798,.,.,
    General sin alimentos,bebidas,tabaco ni servicios (Inc.alquier de viv.),415,492,418,464,418,464,.,.,
    General sin alimentos,bebidas,tabaco,servicios ni alquiler de vivienda,396,092,399,349,399,349,.,.,
    Bienes industriales no duraderos,280,385,285,202,285,202,.,.,
    General sin tabaco,980,137,979,504,979,504,.,.,
    Alimentos y bebidas,250,501,254,004,254,004,.,.,
    Alimentos elaborados,133,326,133,647,133,647,.,.,
    Bienes industriales sin energia,368,796,371,509,371,509,.,.,
    Servicios (con alquiler de vivienda),333,543,326,151,326,151,.,.,
    Alimentos, bebida y tabaco,270,364,274,500,274,500,.,.,
    Alimentos sin elaboración y productos energéticos,199,324,199,526,199,526,.,.,
    Bienes industriales sin productos energéticos,296,977,302,647,302,647,.,.,
Castilla La Mancha,
    Alimentos con elaboración, bebidas y tabaco,183,554,185,295,185,295,.,.,
    Alimentos sin elaboración,91,981,94,448,94,448,.,.,
    Bienes industriales,414,027,416,716,416,716,.,.,
    Servicios sin alquiler de  vivienda,296,462,289,768,289,768,.,.,
    Carburantes y combustibles,82,153,78,525,78,525,.,.,
    Bienes industriales duraderos,112,711,111,009,111,009,.,.,
    Productos energeticos,109,332,106,250,106,250,.,.,
    General sin alimentos, bebidas y tabaco,724,465,720,257,720,257,.,.,
    General sin alquiler de vivienda,986,024,986,227,986,227,.,.,
    General sin carburantes ni combustibles,917,847,921,475,921,475,.,.,
    General sin productos energeticos,890,668,893,750,893,750,.,.,
    General sin alimentos no elaborados ni productos energeticos,798,686,799,302,799,302,.,.,
    General sin servicios (incluye alquiler de vivienda),703,538,710,232,710,232,.,.,
    General sin servicios ni alquiler de vivienda,689,562,696,459,696,459,.,.,
    General sin alimentos,bebidas,tabaco ni alquiler de vivienda,710,489,706,484,706,484,.,.,
    General sin alimentos,bebidas,tabaco,carburante ni combustible,642,312,641,732,641,732,.,.,
    General sin alimentos,bebidas,tabaco ni productos energéticos,615,132,614,007,614,007,.,.,
    General sin alimentos,bebidas,tabaco ni servicios (Inc.alquier de viv.),428,003,430,489,430,489,.,.,
    General sin alimentos,bebidas,tabaco,servicios ni alquiler de vivienda,414,027,416,716,416,716,.,.,
    Bienes industriales no duraderos,301,316,305,707,305,707,.,.,
    General sin tabaco,976,796,976,055,976,055,.,.,
    Alimentos y bebidas,252,331,255,798,255,798,.,.,
    Alimentos elaborados,139,832,140,332,140,332,.,.,
    Bienes industriales sin energia,386,847,388,991,388,991,.,.,
    Servicios (con alquiler de vivienda),310,438,303,541,303,541,.,.,
    Alimentos, bebida y tabaco,275,535,279,743,279,743,.,.,
    Alimentos sin elaboración y productos energéticos,201,314,200,698,200,698,.,.,
    Bienes industriales sin productos energéticos,304,694,310,466,310,466,.,.,
Cataluña,
    Alimentos con elaboración, bebidas y tabaco,163,117,165,172,165,172,.,.,
    Alimentos sin elaboración,82,600,85,171,85,171,.,.,
    Bienes industriales,370,830,373,672,373,672,.,.,
    Servicios sin alquiler de  vivienda,355,215,348,101,348,101,.,.,
    Carburantes y combustibles,73,220,70,696,70,696,.,.,
    Bienes industriales duraderos,108,273,106,767,106,767,.,.,
    Productos energeticos,94,552,92,499,92,499,.,.,
    General sin alimentos, bebidas y tabaco,754,283,749,657,749,657,.,.,
    General sin alquiler de vivienda,971,762,972,116,972,116,.,.,
    General sin carburantes ni combustibles,926,780,929,304,929,304,.,.,
    General sin productos energeticos,905,448,907,501,907,501,.,.,
    General sin alimentos no elaborados ni productos energeticos,822,848,822,330,822,330,.,.,
    General sin servicios (incluye alquiler de vivienda),644,785,651,899,651,899,.,.,
    General sin servicios ni alquiler de vivienda,616,547,624,015,624,015,.,.,
    General sin alimentos,bebidas,tabaco ni alquiler de vivienda,726,046,721,773,721,773,.,.,
    General sin alimentos,bebidas,tabaco,carburante ni combustible,681,063,678,962,678,962,.,.,
    General sin alimentos,bebidas,tabaco ni productos energéticos,659,732,657,158,657,158,.,.,
    General sin alimentos,bebidas,tabaco ni servicios (Inc.alquier de viv.),399,068,401,556,401,556,.,.,
    General sin alimentos,bebidas,tabaco,servicios ni alquiler de vivienda,370,830,373,672,373,672,.,.,
    Bienes industriales no duraderos,262,557,266,906,266,906,.,.,
    General sin tabaco,980,987,980,339,980,339,.,.,
    Alimentos y bebidas,226,704,230,682,230,682,.,.,
    Alimentos elaborados,122,607,123,376,123,376,.,.,
    Bienes industriales sin energia,349,499,351,869,351,869,.,.,
    Servicios (con alquiler de vivienda),383,453,375,985,375,985,.,.,
    Alimentos, bebida y tabaco,245,717,250,343,250,343,.,.,
    Alimentos sin elaboración y productos energéticos,177,152,177,670,177,670,.,.,
    Bienes industriales sin productos energéticos,276,279,281,173,281,173,.,.,
Comunidad Valenciana,
    Alimentos con elaboración, bebidas y tabaco,174,174,176,330,176,330,.,.,
    Alimentos sin elaboración,74,014,76,234,76,234,.,.,
    Bienes industriales,402,132,404,980,404,980,.,.,
    Servicios sin alquiler de  vivienda,334,824,327,788,327,788,.,.,
    Carburantes y combustibles,67,607,64,868,64,868,.,.,
    Bienes industriales duraderos,124,933,123,071,123,071,.,.,
    Productos energeticos,96,535,94,435,94,435,.,.,
    General sin alimentos, bebidas y tabaco,751,812,747,436,747,436,.,.,
    General sin alquiler de vivienda,985,144,985,331,985,331,.,.,
    General sin carburantes ni combustibles,932,393,935,132,935,132,.,.,
    General sin productos energeticos,903,465,905,565,905,565,.,.,
    General sin alimentos no elaborados ni productos energeticos,829,451,829,332,829,332,.,.,
    General sin servicios (incluye alquiler de vivienda),665,176,672,212,672,212,.,.,
    General sin servicios ni alquiler de vivienda,650,320,657,544,657,544,.,.,
    General sin alimentos,bebidas,tabaco ni alquiler de vivienda,736,956,732,767,732,767,.,.,
    General sin alimentos,bebidas,tabaco,carburante ni combustible,684,205,682,568,682,568,.,.,
    General sin alimentos,bebidas,tabaco ni productos energéticos,655,277,653,001,653,001,.,.,
    General sin alimentos,bebidas,tabaco ni servicios (Inc.alquier de viv.),416,987,419,649,419,649,.,.,
    General sin alimentos,bebidas,tabaco,servicios ni alquiler de vivienda,402,132,404,980,404,980,.,.,
    Bienes industriales no duraderos,277,198,281,909,281,909,.,.,
    General sin tabaco,975,115,974,269,974,269,.,.,
    Alimentos y bebidas,223,303,226,833,226,833,.,.,
    Alimentos elaborados,127,966,128,742,128,742,.,.,
    Bienes industriales sin energia,373,204,375,413,375,413,.,.,
    Servicios (con alquiler de vivienda),349,680,342,456,342,456,.,.,
    Alimentos, bebida y tabaco,248,188,252,564,252,564,.,.,
